month,yield_kwh,avg_daily_ghi,avg_temp_c
2023-01-01,432.29910555555557,3.438525806451613,20.872903225806454
2023-02-01,561.56345,4.9452750000000005,21.865357142857142
2023-03-01,714.8464981022222,5.691061290322581,24.171612903225807
2023-04-01,778.9372390902222,6.432216666666666,25.709333333333333
2023-05-01,845.3611874064444,6.869922580645161,30.408709677419353
2023-06-01,800.3874199197778,6.810203333333333,33.532000000000004
2023-07-01,748.7388927935556,6.228370967741935,36.01741935483871
2023-08-01,744.1049631371111,6.2034032258064515,36.49322580645161
2023-09-01,653.4686664477778,5.590296666666666,34.802
2023-10-01,599.1320751648889,4.904967741935484,31.98967741935484
2023-11-01,493.4224833,4.103513333333334,27.842666666666666
2023-12-01,475.18872096577775,3.7819290322580645,24.08516129032258
