date,ghi_kwh_m2_day,temp_c,wind_ms
2023-01-01,3.7085,14.48,2.95
2023-01-02,3.6461,14.12,1.72
2023-01-03,3.4721,12.6,2.04
2023-01-04,3.7234,12.81,1.57
2023-01-05,3.9214,11.98,2.28
2023-01-06,3.5482,11.38,2.82
2023-01-07,2.3604,12.97,2.45
2023-01-08,2.6647,14.08,1.96
2023-01-09,2.6016,13.91,2.28
2023-01-10,3.2926,15.09,2.15
2023-01-11,3.0425,16.86,2.62
2023-01-12,2.9614,14.41,3.4
2023-01-13,4.236,10.85,4.12
2023-01-14,4.321,9.52,2.11
2023-01-15,4.3274,10.53,2.77
2023-01-16,4.4054,10.72,1.62
2023-01-17,4.211,12.33,1.85
2023-01-18,2.5618,11.16,2.71
2023-01-19,1.3454,12.26,2.25
2023-01-20,3.2102,12.61,2.56
2023-01-21,3.6036,12.66,2.46
2023-01-22,3.726,12.35,2.3
2023-01-23,3.3398,11.61,3.83
2023-01-24,3.7258,11.87,2.92
2023-01-25,4.2958,13.0,1.2
2023-01-26,4.2089,10.79,2.81
2023-01-27,4.4705,12.74,2.02
2023-01-28,4.2564,14.05,2.05
2023-01-29,2.9964,13.75,2.36
2023-01-30,3.757,13.75,2.92
2023-01-31,3.5294,13.89,2.81
2023-02-01,4.3843,15.93,1.64
2023-02-02,4.3241,16.96,2.5
2023-02-03,4.2456,18.42,2.59
2023-02-04,4.4206,19.48,1.31
2023-02-05,4.1412,19.98,2.32
2023-02-06,4.5144,17.93,3.62
2023-02-07,4.739,17.69,2.01
2023-02-08,3.6156,19.5,2.45
2023-02-09,4.0927,19.75,2.87
2023-02-10,4.0087,18.99,2.85
2023-02-11,5.0338,17.31,2.51
2023-02-12,5.3957,14.11,3.41
2023-02-13,4.7753,15.96,3.02
2023-02-14,4.2271,20.07,1.98
2023-02-15,4.9327,21.53,2.23
2023-02-16,4.0567,23.09,2.61
2023-02-17,4.758,24.88,1.53
2023-02-18,4.7669,24.08,2.01
2023-02-19,4.2401,23.97,2.44
2023-02-20,3.6115,23.54,2.28
2023-02-21,4.5149,21.97,2.76
2023-02-22,4.1549,22.16,2.26
2023-02-23,5.0753,22.8,1.85
2023-02-24,4.56,24.41,1.72
2023-02-25,4.9675,24.62,2.41
2023-02-26,4.9673,24.92,2.13
2023-02-27,4.7935,24.06,2.33
2023-02-28,4.2446,22.84,3.58
2023-03-01,4.6174,21.77,5.02
2023-03-02,4.3889,21.85,3.27
2023-03-03,4.9886,22.76,2.95
2023-03-04,5.365,23.94,1.75
2023-03-05,5.6098,24.34,1.69
2023-03-06,5.6028,25.15,2.37
2023-03-07,5.5646,25.53,2.15
2023-03-08,5.8106,25.29,1.46
2023-03-09,6.017,24.59,2.05
2023-03-10,5.9789,25.13,2.84
2023-03-11,5.9419,26.66,3.69
2023-03-12,4.6543,27.53,1.96
2023-03-13,5.6114,26.9,2.54
2023-03-14,5.8958,27.78,2.22
2023-03-15,4.7364,27.11,2.42
2023-03-16,5.0942,26.6,3.15
2023-03-17,3.3475,21.58,2.73
2023-03-18,5.1737,21.47,2.83
2023-03-19,2.3052,22.37,2.13
2023-03-20,5.2829,24.32,1.07
2023-03-21,4.8857,24.9,2.73
2023-03-22,4.5463,24.06,2.93
2023-03-23,5.6191,24.41,1.7
2023-03-24,4.9447,22.3,2.47
2023-03-25,5.7648,21.7,2.4
2023-03-26,6.2748,21.37,2.94
2023-03-27,6.5033,23.77,1.6
2023-03-28,6.2957,26.3,2.03
2023-03-29,4.6968,25.2,4.69
2023-03-30,4.7374,21.69,3.53
2023-03-31,5.2397,21.37,1.99
2023-04-01,6.0446,23.35,2.0
2023-04-02,6.0341,25.24,2.84
2023-04-03,5.3966,24.14,4.9
2023-04-04,6.397,24.22,1.93
2023-04-05,5.3585,25.88,2.22
2023-04-06,6.643,25.41,2.46
2023-04-07,6.9595,25.48,2.98
2023-04-08,7.0464,27.12,1.69
2023-04-09,7.0498,28.57,1.65
2023-04-10,7.0514,29.7,2.28
2023-04-11,5.364,30.05,2.32
2023-04-12,6.7354,30.53,2.11
2023-04-13,7.2494,32.1,1.3
2023-04-14,7.249,32.52,1.98
2023-04-15,7.1587,32.79,2.74
2023-04-16,6.5059,32.51,2.97
2023-04-17,5.1305,31.91,3.02
2023-04-18,5.5457,31.03,3.52
2023-04-19,6.2395,28.44,2.39
2023-04-20,7.0697,27.53,2.75
2023-04-21,7.3824,28.05,2.47
2023-04-22,7.2715,28.42,3.95
2023-04-23,7.8022,27.82,3.54
2023-04-24,7.649,28.92,3.35
2023-04-25,6.2803,31.75,2.44
2023-04-26,5.5596,30.98,2.7
2023-04-27,5.8015,31.93,2.81
2023-04-28,5.6606,30.49,3.39
2023-04-29,2.8229,24.63,2.51
2023-04-30,4.757,25.74,2.98
