month,yield_kwh,avg_daily_ghi,avg_temp_c
2023-01-01,443.96450555555555,3.5313129032258064,12.746129032258064
2023-02-01,509.22366666666665,4.484357142857143,20.748214285714287
2023-03-01,653.6191072,5.209522580645162,24.18516129032258
2023-04-01,755.7195589655555,6.30719,28.575
2023-05-01,789.896548845111,6.484232258064516,32.512903225806454
2023-06-01,776.9318000424445,6.651256666666667,34.940333333333335
2023-07-01,676.5789259368888,5.613654838709677,35.08483870967742
2023-08-01,708.9251110835555,5.875141935483871,35.0541935483871
2023-09-01,656.7249095091111,5.614463333333333,34.548
2023-10-01,579.7905655544445,4.682874193548388,28.506129032258066
2023-11-01,364.2264795088889,2.9961866666666666,22.051666666666666
2023-12-01,375.3591055555556,2.985622580645161,16.92032258064516
