month,yield_kwh,avg_daily_ghi,avg_temp_c
2023-01-01,437.45047222222223,3.4795000000000003,13.132903225806452
2023-02-01,611.82395,5.387882142857143,15.843571428571428
2023-03-01,752.6368944444445,5.986506451612904,21.129354838709677
2023-04-01,763.0499891453334,6.2893566666666665,23.621666666666666
2023-05-01,830.5156332022223,6.769354838709678,31.127741935483872
2023-06-01,920.0521071222222,7.87277,34.85566666666667
2023-07-01,917.0079395728889,7.660529032258064,36.980645161290326
2023-08-01,848.7175545262222,7.086951612903226,36.86451612903225
2023-09-01,771.2631478000001,6.576413333333333,34.005
2023-10-01,706.5763604168889,5.707451612903226,28.603870967741937
2023-11-01,498.87351362022224,4.102993333333333,22.551333333333332
2023-12-01,513.7074888888889,4.086051612903226,17.009032258064515
